nombre_tecnico,nombre_legible,tipo_dato,categoria,descripcion
objeto_del_contrato,Objeto del Contrato,text,Texto,Objeto del contrato electrónico
duraci_n_del_contrato,Duración del contrato,text,Tiempo,Describe la duración del contrato en el tiempo
nombre_del_banco,Nombre del banco,text,Variables_Administrativas,Indica el nombre del banco en donde se consignaran los pagos del contrato
tipo_de_cuenta,Tipo de cuenta,text,Variables_Administrativas,Tipo de cuenta en la que se se consignaran los pago del contrato
n_mero_de_cuenta,Número de cuenta,text,Variables_Administrativas,Numero de cuenta en donde se haran los pagos del contrato
el_contrato_puede_ser_prorrogado,El contrato puede ser prorrogado,text,Contratacion,Indica si el contrato puede ser o no prorrogado
fecha_de_notificaci_n_de_prorrogaci_n,Fecha de notificación de prorrogación,calendar_date,Otras,Infica la fecha de notificación de la prorrogación del contrato
nombre_ordenador_del_gasto,Nombre ordenador del gasto,text,Variables_Administrativas,Describe el nombre del ordenador del gasto de la entidad compradora
tipo_de_documento_ordenador_del_gasto,Tipo de documento Ordenador del gasto,text,Variables_Administrativas,Indica el tipo de documento del ordenador del gasto de la entidad compradora
n_mero_de_documento_ordenador_del_gasto,Número de documento Ordenador del gasto,text,Variables_Administrativas,Indica el número de documento del ordenador del gasto
nombre_supervisor,Nombre supervisor,text,Variables_Administrativas,Describe el nombre del supervisor de la entidad compradora
tipo_de_documento_supervisor,Tipo de documento supervisor,text,Variables_Administrativas,Indica el tipo de documento del supervisor de la entidad compradora
n_mero_de_documento_supervisor,Número de documento supervisor,text,Variables_Administrativas,Indica el número de documento del supervisor
nombre_ordenador_de_pago,Nombre Ordenador de Pago,text,Variables_Administrativas,Describe el nombre del Ordenador de Pago de la entidad compradora
tipo_de_documento_ordenador_de_pago,Tipo de documento Ordenador de Pago,text,Variables_Administrativas,Indica el tipo de documento del Ordenador de Pago de la entidad compradora
n_mero_de_documento_ordenador_de_pago,Número de documento Ordenador de Pago,text,Variables_Administrativas,Indica el número de documento del Ordenador de Pago
documentos_tipo,Documentos Tipo,text,Contratacion,Indica si se utilizaron documentos tipo en el contrato
descripcion_documentos_tipo,Descripcion Documentos Tipo,text,Contratacion,Descripción de los documentos tipo utilizados
direcci_n_de_ejecuci_n_del_contrato,Dirección de ejecución del contrato,text,Geografia,Dirección en donde se ejecuto el contrato durante su vigencia
